skill
Python
Machine Learning
Deep Learning
FastAPI
Flask
Django
Pandas
NumPy
Scikit-learn
TensorFlow
PyTorch
SQL
Docker
Git
Linux
AWS
Azure
GCP
NLP
LLMs
LangChain
FAISS
RAG
Streamlit
